#time	internal_storage_used	internal_storage_available	external_storage_used	external_storage_available
11157	51560356	3555796	17022720	44063392
21171	51575904	3540248	17022720	44063392
31179	51560296	3555856	17022720	44063392
41193	51560332	3555820	17022720	44063392
51205	51559736	3556416	17022720	44063392
61208	51559732	3556420	17022720	44063392
71222	51560056	3556096	17022720	44063392
81231	51560168	3555984	17022720	44063392
91235	51560328	3555824	17022720	44063392
101240	51560504	3555648	17022720	44063392
111242	51560460	3555692	17022720	44063392
121257	51560556	3555596	17022720	44063392
131263	51560544	3555608	17022720	44063392
141271	51560544	3555608	17022720	44063392
151284	51563188	3552964	17022720	44063392
161290	51567840	3548312	17022720	44063392
171298	51572128	3544024	17022720	44063392
181303	51572128	3544024	17022720	44063392
191308	51572192	3543960	17022720	44063392
201322	51572176	3543976	17022720	44063392
211325	51572184	3543968	17022720	44063392
221339	51572156	3543996	17022720	44063392
231349	51572088	3544064	17022720	44063392
241356	51572140	3544012	17022720	44063392
251364	51572128	3544024	17022720	44063392
261367	51572104	3544048	17022720	44063392
271372	51572108	3544044	17022720	44063392
281386	51572520	3543632	17022720	44063392
291398	51572640	3543512	17022720	44063392
301410	51572632	3543520	17022720	44063392
311415	51576680	3539472	17022720	44063392
321426	51576716	3539436	17022720	44063392
331441	51576724	3539428	17022720	44063392
341443	51576840	3539312	17022720	44063392
351449	51576688	3539464	17022720	44063392
361452	51576596	3539556	17022720	44063392
371463	51576644	3539508	17022720	44063392
381472	51576624	3539528	17022720	44063392
391474	51576204	3539948	17022720	44063392
401476	51577800	3538352	17022720	44063392
411479	51576880	3539272	17022720	44063392
421490	51598052	3518100	17022720	44063392
431503	51580796	3535356	17022720	44063392
441508	51580928	3535224	17022720	44063392
451522	51580864	3535288	17022720	44063392
461532	51576832	3539320	17022720	44063392
471548	51583660	3532492	17022720	44063392
481555	51576908	3539244	17022720	44063392
491566	51577224	3538928	17022720	44063392
501577	51576916	3539236	17022720	44063392
511591	51577200	3538952	17022720	44063392
521601	51577188	3538964	17022720	44063392
531615	51587484	3528668	17022720	44063392
541622	51577360	3538792	17022720	44063392
551628	51577288	3538864	17022720	44063392
561640	51577468	3538684	17022720	44063392
571654	51577284	3538868	17022720	44063392
581657	51577316	3538836	17022720	44063392
591671	51577356	3538796	17022720	44063392
601674	51576540	3539612	17022720	44063392
611675	51576552	3539600	17022720	44063392
621680	51576648	3539504	17022720	44063392
631685	51576576	3539576	17022720	44063392
641700	51576588	3539564	17022720	44063392
651728	51576600	3539552	17022720	44063392
661741	51576644	3539508	17022720	44063392
671746	51576620	3539532	17022720	44063392
681748	51576628	3539524	17022720	44063392
691753	51576600	3539552	17022720	44063392
701772	51576680	3539472	17022720	44063392
711778	51576716	3539436	17022720	44063392
721790	51577132	3539020	17022720	44063392
731802	51593672	3522480	17022720	44063392
741813	51577324	3538828	17022720	44063392
751825	51577868	3538284	17022720	44063392
761850	51577116	3539036	17022720	44063392
771863	51594356	3521796	17022720	44063392
781873	51577196	3538956	17022720	44063392
791875	51577276	3538876	17022720	44063392
801878	51576756	3539396	17022720	44063392
811892	51577108	3539044	17022720	44063392
821900	51576876	3539276	17022720	44063392
831904	51577224	3538928	17022720	44063392
841908	51584388	3531764	17022720	44063392
851921	51594708	3521444	17022720	44063392
861929	51577352	3538800	17022720	44063392
871941	51577116	3539036	17022720	44063392
881952	51594568	3521584	17022720	44063392
891966	51580808	3535344	17022720	44063392
901979	51594428	3521724	17022720	44063392
911982	51577800	3538352	17022720	44063392
921987	51594480	3521672	17022720	44063392
931998	51577340	3538812	17022720	44063392
942005	0	0	0	0
